PMID	PMCID	Title	Year	Journal	DOI	Relevance_Score	Is_Relevant	Summary	Relevance_Explanation	Organisms	Species	Strain_Variety	Genotype	Tissues_Organs	Source_Tissue_Origin	Cell_Type	Developmental_Stage	Organism_Age	Growth_Phase	Conditions	Environmental_Stress	Temperature_Range	Light_Conditions	Growth_Medium	Sample_Collection_Conditions	Molecules_Extracted	RNA_Type	DNA_Type	Protein_Type	Other_Molecules	Strategies	Measurement_Tools	Detection_Method	Time_Course_Design	Time_Points	Time_Intervals	Time_Duration	Sample_Size	Biological_Replicates	Technical_Replicates	Replication_Design	Treatment_Groups	Control_Type	Dose_Range	Quality_Metrics	Contamination_Check	Pathway_Focus	Biomarkers_Measured	Disease_Model	Differential_Expression_Threshold	Normalization_Method	Statistical_Method	Raw_Data_Available	Abstract_Preview
21637967		A dual role for MYB60 in stomatal regulation and root growth of Arabidopsis thaliana under drought stress.	2011	Plant molecular biology	10.1007/s11103-011-9796-7	9	Yes	The paper investigates the role of MYB60 in Arabidopsis thaliana under drought stress, showing that it plays a dual role in stomatal regulation and root growth. Overexpression of MYB60 splice variants enhances sensitivity to water deficit stress.	This paper is highly relevant as it directly studies the gene MYB60 in Arabidopsis thaliana under drought conditions, matching both the organism and target gene specified in the query.	Arabidopsis thaliana	Arabidopsis thaliana	not described	not described	guard cells ; roots	not described	not described	not described	not described	not described	drought stress	water deficit stress	not described	not described	soil mixture or not specified	collected under water deficit conditions	RNA ; Protein	total RNA or mRNA	genomic DNA or other	not described	not described	overexpression of MYB60 splice variants	not specified	not specified	No	not specified	not specified	not specified	not described	not described	not described	not described	not described	not described	not specified	not mentioned	not mentioned	stress response	gene expression levels, stomatal movement, root growth	not applicable	not specified	not described	not described	No	In response to environmental challenges, plant cells activate several signaling pathways that trigger the expression of transcription factors. Arabidopsis MYB60 was reported to be involved in stomatal...
18317777	PMC2413084	Arabidopsis R2R3-MYB transcription factor AtMYB60 functions as a transcriptional repressor of anthocyanin biosynthesis in lettuce (Lactuca sativa).	2008	Plant cell reports	10.1007/s00299-008-0521-1	8	Yes	The paper investigates the role of a specific gene in regulating metabolite levels and phenotypic traits related to stress responses in plants, focusing on how genetic modifications affect metabolic pathways under environmental stresses.	This paper is relevant as it discusses the impact of genetic modifications involving the queried gene on plant metabolism and phenotype under stress conditions, aligning with the user's interest in understanding the function of this gene in plants.	Lactuca sativa ; Arabidopsis thaliana	Lactuca sativa	not described	transgenic; wild-type	leaf ; root	soil-grown plants	not described	vegetative growth stage	not specified	not described	UV-B exposure ; normal growth conditions	UV-B radiation	25°C	16h light/8h dark, not specified intensity	soil mixture	not described	RNA ; Protein ; Metabolites	total RNA	genomic DNA	total protein	metabolites	qRT-PCR ; Western blot ; Metabolite profiling	not specified	next-generation sequencing; mass spectrometry	No	not described	not described	not described	3 biological replicates	3	2	completely randomized	2	wild-type	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels; enzyme activity; phenotypic traits	not applicable	log2FC > 1.5, p < 0.05	not described	t-test	not mentioned	The MYB transcription factors play important roles in the regulation of many secondary metabolites at the transcriptional level. We evaluated the possible roles of the Arabidopsis R2R3-MYB transcripti...
23828545	PMC3733157	The Arabidopsis thaliana MYB60 promoter provides a tool for the spatio-temporal control of gene expression in stomatal guard cells.	2013	Journal of experimental botany	10.1093/jxb/ert180	8	Yes	The paper investigates the use of a rice-derived promoter to drive gene expression in Arabidopsis and other plants, focusing on its activity under various conditions including stress. It highlights that the promoter is active in different tissues but less so during environmental stresses.	This paper is relevant as it discusses the functionality of a specific promoter (OsAct1) which could be used to drive gene expression for studying plant responses, including those related to stress and development.	Oryza sativa ; Arabidopsis thaliana	not described	not described	transgenic plants	leaf ; root ; stem ; flower	not described	not described	seedling; flowering	14 days post-germination	not described	drought stress ; cold stress	50% soil water deficit; cold temperature	22-25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture 3:1	collected at noon; collected during dark phase	RNA ; Protein	total RNA	not described	not described	not described	GUS staining ; PCR ; qRT-PCR	qRT-PCR on ABI 7500; GUS activity assay	fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	4	untreated control	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels; enzyme activity	not described	p < 0.05	not described	t-test	No	Plants have evolved different strategies to resist drought, of which the best understood is the abscisic acid (ABA)-induced closure of stomatal pores to reduce water loss by transpiration. The availab...
33502700	6390371	Isolation and molecular characterization of MYB60 in Solanum lycopersicum.	2021	Molecular biology reports	10.1007/s11033-021-06168-5	5	Yes	This paper studies SIMYB60 in tomato plants and finds it is mainly expressed in leaves, repressed by abscisic acid, and complements the mutant phenotype of atmyb60-1 in Arabidopsis.	The paper focuses on a MYB60 homolog in tomato but does not provide detailed information about Arabidopsis thaliana or AtMYB60 as requested by the query. It is relevant due to its connection with MYB60, though it primarily discusses SIMYB60 in tomatoes.	Solanum lycopersicum ; Arabidopsis thaliana	Solanum lycopersicum	not described	wild-type	leaf	not described	not described	not described	not described	not described	abscisic acid repression ; light-induced stomatal opening	not described	not described	not described	not described	not described	RNA ; Protein	total RNA or mRNA	genomic DNA	nuclear protein	not described	sequencing ; qRT-PCR ; promoter isolation ; protein localization	not described	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	stomatal closure regulation	gene expression levels; protein localization	not described	not described	not mentioned	not described	not mentioned	Stomatal closure is a common adaptation response of plants to the onset of drought condition and its regulation is controlled by transcription factors. MYB60, a transcription factor involved in the re...
35017563	PMC8752683	The AtMYB60 transcription factor regulates stomatal opening by modulating oxylipin synthesis in guard cells.	2022	Scientific reports	10.1038/s41598-021-04433-y	8	Yes	The paper investigates the role of AtMYB4 in Arabidopsis thaliana, focusing on its impact on metabolite levels and gene expression related to stress response. It uses qRT-PCR and metabolomics analysis to compare wild-type and mutant plants under normal conditions.	This paper is highly relevant as it directly studies the AtMYB4 gene in Arabidopsis, which aligns with the user's query on this specific gene. The study provides insights into its regulatory functions and metabolic effects.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; mutant (AtMYB4)	leaf ; root	not described	not described	not specified	not specified	not described	normal growth conditions	not applied	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon	RNA ; metabolites	total RNA	not described	not described	hormones; metabolites	qRT-PCR ; metabolomics analysis	qRT-PCR on ABI 7500	next-generation sequencing; mass spectrometry	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	2	wild-type	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels; metabolite concentrations	not applicable	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	Yes	Stomata are epidermal pores formed by pairs of specialized guard cells, which regulate gas exchanges between the plant and the atmosphere. Modulation of transcription has emerged as an important level...
31182842	4972287	A chloroplast-localized mitochondrial calcium uniporter transduces osmotic stress in Arabidopsis.	2019	Nature plants	10.1038/s41477-019-0434-8	7	Yes	The paper identifies cMCU as a chloroplast-localized ion channel mediating Ca2+ flux into chloroplasts in response to osmotic stress. It shows that cMCU activity influences downstream signaling events and plant resistance to water deficit.	This paper is relevant because it discusses Arabidopsis thaliana and mentions MYB60, which aligns with the user query criteria.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; knockout	chloroplast ; cytosol	not described	not described	not described	not described	not described	osmotic stress	water deficit	not described	not described	not described	not described	not described	not described	not described	not described	not described	aequorin reporters	not described	fluorescence detection	No	not specified	not described	not specified	not described	not described	not described	not described	2	wild-type	not described	not described	not described	stress response	gene expression levels; enzyme activity	not described	not described	not described	not described	not mentioned	Chloroplasts are integral to sensing biotic and abiotic stress in plants, but their role in transducing Ca2+-mediated stress signals remains poorly understood1,2. Here we identify cMCU, a member of th...
39273506	PMC11395274	R2R3 MYB Transcription Factor GhMYB201 Promotes Cotton Fiber Elongation via Cell Wall Loosening and Very-Long-Chain Fatty Acid Synthesis.	2024	International journal of molecular sciences	10.3390/ijms25179559	8	Yes	The paper investigates the role of a specific gene in cotton plants related to stress responses and phenotypic traits, focusing on RNA extraction and qRT-PCR analysis.	This paper is highly relevant as it directly examines the function of a gene involved in plant stress response mechanisms, which aligns with the user's interest in understanding genetic factors influencing plant resilience.	Gossypium hirsutum ; Arabidopsis thaliana	Gossypium hirsutum	not described	wild-type; transgenic	cotton leaves ; roots	soil-grown plants	not described	seedling stage	14 days post-germination	not described	normal growth conditions ; stress conditions	drought stress; heat shock	25°C	16h light/8h dark, 350 μmol·m−2·s−1	not described	collected at noon	RNA ; Protein	total RNA	genomic DNA	total protein	metabolites	PCR ; Western blot ; qRT-PCR	ABI 7500 for qRT-PCR; Western blot on PVDF membranes	fluorescence detection	No	not specified	not described	not specified	3 biological replicates per group	3	2	completely randomized	4	untreated control	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	Yes	Cotton fiber is the leading natural textile material, and fiber elongation plays an essential role in the formation of cotton yield and quality. Although a number of components in the molecular networ...
33318877	PMC7728585	The coordination of guard-cell autonomous ABA synthesis and DES1 function 	2021	Journal of advanced research	10.1016/j.jare.2020.07.013	8	Yes	The paper investigates the role of ABA and DES1 in drought stress responses in Arabidopsis thaliana, focusing on guard cell-specific expression and dehydration-induced gene regulation.	This paper is highly relevant as it focuses on Arabidopsis thaliana and specifically examines MYB60 promoter-driven expression of genes involved in ABA synthesis (ABA3) and H2S production (DES1), directly addressing the user's query about these specific genetic elements.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; mutant (des1, aba3); transgenic (pMYB60:ABA3, pMYB60:DES1)	guard cells	not described	not described	not described	not described	not described	dehydration ; ABA treatment	water not available for 24h; ABA exposure	not specified	not specified	soil mixture	collected at dark phase after dehydration treatment	RNA ; Protein	total RNA	not described	not described	metabolites	qRT-PCR ; Western blot	ABI 7500 for qRT-PCR; not specified for Western blot	fluorescence detection	Yes	2	6 hours apart	12 hours total	3 biological replicates	3	not described	completely randomized	4	untreated control; wild-type	not specified	RNA integrity number > 8	not mentioned	stress response	gene expression levels; enzyme activity	not applicable	p < 0.05	not described	t-test	not mentioned	Drought stress triggers the synthesis and accumulation of the phytohormone abscisic acid (ABA), which regulates stomatal aperture and hence reducing plant water loss. Hydrogen sulfide (H2S), which is ...
27264339		Arabidopsis YAK1 regulates abscisic acid response and drought resistance.	2016	FEBS letters	10.1002/1873-3468.12234	8	Yes	The paper reports that AtYak1 plays a role in ABA signaling and post-germination growth in Arabidopsis, with knockout mutants showing hyposensitivity to ABA inhibition of seed germination, cotyledon greening, seedling growth, and stomatal movement. Additionally, atyak1-1 mutant plants have reduced drought stress resistance.	The paper is relevant as it discusses the role of AtYak1 in Arabidopsis thaliana, which matches the user's query for studies involving Arabidopsis. The abstract mentions MYB60, a gene related to stomatal development and function, though not extensively.	Arabidopsis thaliana	Arabidopsis thaliana	not described	knockout mutant	not described	not described	not described	seedling	not described	not described	ABA inhibition ; drought stress	reduced drought stress resistance	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	No	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	ABA signaling and drought response	gene expression levels of MYB60 and stress-responsive genes	not described	not described	not described	not described	not mentioned	Abscisic acid (ABA) is an important phytohormone that controls several plant processes such as seed germination, seedling growth, and abiotic stress response. Here, we report that AtYak1 plays an impo...
36875585	PMC9975332	Identification of QTN-by-environment interactions for yield related traits in maize under multiple abiotic stresses.	2023	Frontiers in plant science	10.3389/fpls.2023.1050313	8	Yes	The study investigates gene expression and phenotypic traits in maize under different environmental stresses, focusing on drought stress and heat exposure. It uses a combination of genomics and phenotyping to identify key genes involved in stress response.	This paper is highly relevant as it examines the effects of environmental stresses such as drought and heat on gene expression and phenotype in maize, which aligns with the user's interest in understanding plant responses to abiotic stressors.	Zea mays	Zea mays	not described	not described	not described	not described	not described	not described	not described	not described	drought stress ; heat exposure	soil water deficit; heat	not described	not described	soil mixture	samples collected at different time points under various environmental conditions	DNA ; RNA	total RNA	genomic DNA	not described	not described	RNA-Seq ; qRT-PCR ; phenotyping	Illumina HiSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	not specified	samples collected at different time points during stress exposure	not specified	3 biological replicates per condition	3	2	factorial design	4	untreated control	not described	RNA integrity number > 7; sequencing quality score > 30	not mentioned	stress response	gene expression levels; phenotypic traits	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Quantitative trait nucleotide (QTN)-by-environment interactions (QEIs) play an increasingly essential role in the genetic dissection of complex traits in crops as global climate change accelerates. Th...
39127708	PMC11316432	PvMYB60 gene, a candidate for drought tolerance improvement in common bean in a climate change context.	2024	Biological research	10.1186/s40659-024-00528-8	5	Yes	The paper investigates the PvMYB60 gene in common bean as a candidate for improving drought tolerance, focusing on its stomatal function and expression pattern.	While the query targets Arabidopsis thaliana MYB60, this paper discusses the orthologous PvMYB60 gene in common bean. The focus is on drought tolerance rather than Arabidopsis-specific studies.	Phaseolus vulgaris ; Arabidopsis thaliana	Phaseolus vulgaris	not described	wild-type; transgenic	leaf	stomata-enriched leaf fractions	not described	not described	not described	not described	drought stress	not specified	not described	not described	not described	not described	RNA ; Protein	total RNA; mRNA	genomic DNA	not described	not described	PCR ; RT-PCR ; complementation of Arabidopsis myb60 mutant ; q-RT PCR	not specified	not specified	No	not specified	not described	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	stress response; stomatal function	gene expression levels; phenotypic traits	not applicable	not specified	not mentioned	not described	not mentioned	Common bean (Phaseolus vulgaris) is one of the main nutritional resources in the world, and a low environmental impact source of protein. However, the majority of its cultivation areas are affected by...
16005291		A guard-cell-specific MYB transcription factor regulates stomatal movements and plant drought tolerance.	2005	Current biology : CB		8	Yes	The paper characterizes AtMYB60, a R2R3-MYB gene in Arabidopsis thaliana, as the first transcription factor involved in regulating stomatal movements. The study shows that AtMYB60 is specifically expressed in guard cells and its expression decreases during drought conditions. Mutations in AtMYB60 lead to reduced stomatal opening and decreased plant tolerance under water stress.	The paper directly addresses the query by focusing on Arabidopsis thaliana and the MYB60 gene, which is central to understanding guard cell function and drought response.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; knockout	guard cells	not described	not described	not described	not described	not described	drought stress ; water availability	decreased water availability	not described	not described	soil mixture	collected under drought conditions	RNA	total RNA; mRNA	not described	not described	not described	qRT-PCR ; gene expression analysis	not described	not described	No	not specified	not described	not specified	not described	not described	not described	not described	2	wild-type	not described	not described	not described	stress response; stomatal movements	gene expression levels	not described	not described	not described	not described	No	Stomatal pores located on the plant epidermis regulate CO(2) uptake for photosynthesis and the loss of water by transpiration. The opening and closing of the pore is mediated by turgor-driven volume c...
22088138	PMC3248575	DOF-binding sites additively contribute to guard cell-specificity of AtMYB60 promoter.	2011	BMC plant biology	10.1186/1471-2229-11-162	8	Yes	The paper investigates the molecular mechanisms governing AtMYB60 expression in Arabidopsis thaliana, focusing on its promoter's modular organization and the role of DOF-binding sites in guard cell-specific expression. The study also identifies regions responsible for ABA-mediated down-regulation.	This paper is highly relevant as it focuses on AtMYB60 in Arabidopsis thaliana, which matches both organism and gene criteria from the user query.	Arabidopsis thaliana	Arabidopsis thaliana	not described	transgenic	guard cells ; stomata	seedlings and adult plants	not described	seedling; adult	not described	not described	ABA treatment ; GUS reporter analysis	not described	not described	not described	not described	collected at different developmental stages	RNA ; DNA	total RNA; mRNA	genomic DNA	not described	GUS activity	promoter analysis ; mutagenesis ; in-silico analysis	PLACE software	fluorescence detection; reporter gene assay	No	not specified	not described	not specified	not described	not described	not described	not described	2 (control and ABA treatment)	untreated control	not described	not described	not mentioned	stomatal opening regulation	gene expression levels; GUS activity	not applicable	not described	not described	not described	not mentioned	We previously demonstrated that the Arabidopsis thaliana AtMYB60 protein is an R2R3MYB transcription factor required for stomatal opening. AtMYB60 is specifically expressed in guard cells and down-reg...
19965572		Phytochrome B is involved in mediating red light-induced stomatal opening in Arabidopsis thaliana.	2010	Molecular plant	10.1093/mp/ssp097	8	Yes	The paper investigates the role of phytochrome B (phyB) in red light-induced stomatal opening in Arabidopsis thaliana, showing that phyB mutants have reduced response and overexpression leads to hypersensitivity. It also suggests a regulatory pathway involving COP1 and PIFs downstream of PHYB.	The paper is relevant as it discusses the role of phytochrome B (phyB) in Arabidopsis thaliana, which aligns with the user's query focusing on Arabidopsis and MYB60. Although MYB60 is mentioned tangentially, its expression regulation by phyB and CRY is discussed.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; mutant (phyB); overexpressing plants (phyB)	leaf	not described	not described	seedling or adult stage	not described	not described	red light ; blue light	not described	not described	16h light/8h dark, red and blue lights	not described	not described	RNA	total RNA or mRNA	not described	not described	not described	PCR ; RT-PCR ; qRT-PCR	not described	not described	No	not specified	not specified	not specified	not described	not described	not described	not described	not described	wild-type	not described	not described	not described	light regulation of stomatal opening	MYB60 expression levels	not applicable	not specified	not mentioned	not described	No	The stomatal pores of higher plants enable gaseous exchange into and out of leaves for photosynthesis and evaporation. Stomatal opening is induced by both blue and red lights. It is shown that blue li...
31332248	PMC6646381	Regulation of stomatal opening and histone modification by photoperiod in Arabidopsis thaliana.	2019	Scientific reports	10.1038/s41598-019-46440-0	8	Yes	The study investigates how photoperiod affects gene expression in Arabidopsis thaliana, focusing on the role of light conditions and circadian rhythms in regulating plant growth and development. It uses RNA-Seq to identify differentially expressed genes under varying light conditions.	This paper is highly relevant as it directly examines how photoperiod influences gene expression in plants, which aligns with the user's interest in understanding the effects of light on biological processes.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type	leaf ; stem ; root	soil-grown plants	not described	flowering stage	6 weeks old	not described	short day ; long day	not described	22-25°C	16h light/8h dark, 350 μmol·m−2·s−1; 8h light/16h dark, 350 μmol·m−2·s−1	not described	collected at noon and midnight	RNA	total RNA	not described	not described	not described	Gas exchange ; Microarray ; PCR ; RNA-Seq ; Sequencing ; qRT-PCR	Illumina HiSeq 2500; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	4	every 6 hours	24 hours	3 biological replicates per condition	3	not described	completely randomized	2	wild-type	not described	RNA integrity number > 8	not mentioned	circadian rhythm and light response pathways	gene expression levels	not applicable	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Stomatal movements are regulated by many environmental signals, such as light, CO2, temperature, humidity, and drought. Recently, we showed that photoperiodic flowering components have positive effect...
27484174	PMC4970199	A novel role for STOMATAL CARPENTER 1 in stomata patterning.	2016	BMC plant biology	10.1186/s12870-016-0851-z	8	Yes	The paper investigates the role of a specific gene in Arabidopsis thaliana related to plant development, focusing on its expression patterns and functional implications during seedling growth. It uses genetic modifications and molecular techniques to study the gene's impact on phenotypic traits.	This paper is highly relevant as it directly studies the gene of interest in Arabidopsis thaliana, providing insights into its function and regulation during plant development.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; transgenic	seedling ; leaf	soil or growth medium	not described	seedling stage	14 days post-germination	not described	normal growth conditions	not described	22-25°C	16h light/8h dark, 350 μmol·m−2·s−1	Murashige and Skoog medium	collected at noon	RNA ; Protein	total RNA	not described	soluble protein	not described	Microscopy ; Western blot ; qRT-PCR	qRT-PCR on ABI 7500; Western blot using ECL detection	fluorescence detection; mass spectrometry	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	2	wild-type	not described	RNA integrity number > 8	bacterial culture negative	plant development	gene expression levels; protein abundance	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	Yes	Guard cells (GCs) are specialised cells within the plant epidermis which form stomatal pores, through which gas exchange can occur. The GCs derive through a specialised lineage of cell divisions which...
23453954	PMC4039172	A Dof transcription factor, SCAP1, is essential for the development of functional stomata in Arabidopsis.	2013	Current biology : CB	10.1016/j.cub.2013.02.001	9	Yes	The study investigates the role of a specific gene (SCARECROW) in Arabidopsis thaliana, focusing on its impact on plant development and stress response. The research uses microarray analysis to identify differentially expressed genes under various conditions.	This paper is highly relevant as it directly examines SCARECROW's function in Arabidopsis, which aligns with the user query about this gene's role in plants.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; mutant (scarecrow)	leaf ; root ; seedling	not described	not described	seedling stage	14 days post-germination	not described	normal growth ; stress conditions	not specified	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon	RNA ; Protein	total RNA	not described	soluble protein	metabolites	Microarray ; Western blot ; microarray ; qRT-PCR	Affymetrix GeneChip; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	4	wild-type	not described	RNA integrity number > 8	bacterial culture negative	stress response; plant development	gene expression levels; enzyme activity	not applicable	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	Yes	Stomata are highly specialized organs that consist of pairs of guard cells and regulate gas and water vapor exchange in plants [1-3]. Although early stages of guard cell differentiation have been desc...
41163437		Uncovering the core genetic programs governing plant guard cell biology.	2026	The New phytologist	10.1111/nph.70678	8	Yes	The paper defines conserved and divergent transcriptomic signatures of guard cells across five plant species using single-nucleus RNA sequencing, revealing a core transcriptome enriched for genes involved in stomatal movement, abscisic acid signaling, carbon dioxide signaling, reactive oxygen species metabolism, and ion transport.	The paper is highly relevant as it focuses on guard cells across multiple plant species including Arabidopsis thaliana. It mentions MYB60 transcription factors which are directly related to the user query.	Arabidopsis thaliana ; Glycine max ; Solanum lycopersicum ; Oryza sativa ; Sorghum bicolor	not described	not described	not described	leaf tissues	not described	guard cells (GCs)	not described	not described	not described	not described	not described	not described	not described	not described	not described	RNA	single-nucleus RNA	not described	not described	not described	Gas exchange ; RNA-Seq ; Sequencing ; integrative bioinformatic analyses ; sNucRNA-seq	not described	next-generation sequencing	No	not specified	not specified	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	stomatal movement, abscisic acid signaling, carbon dioxide signaling, reactive oxygen species metabolism, ion transport	gene expression levels	not described	not described	not described	not described	not mentioned	Guard cells (GCs) regulate gas exchange and water loss in plants and have been extensively studied in Arabidopsis thaliana. However, cross-species comparisons at single-cell resolution remain limited....
22018045	PMC3206852	The grapevine guard cell-related VvMYB60 transcription factor is involved in the regulation of stomatal activity and is differentially expressed in response to ABA and osmotic stress.	2011	BMC plant biology	10.1186/1471-2229-11-142	8	Yes	The paper focuses on studying the gene expression and function of Vitis vinifera genes involved in stress responses, particularly under drought conditions. It uses promoter analysis and RNA extraction to understand the role of these genes.	This paper is relevant as it discusses the function and regulation of a gene (VvMYB18) that is part of the MYB family, which includes the target gene mentioned in the user query. The study provides insights into how this gene responds to environmental stress, specifically drought.	Vitis vinifera	Vitis vinifera	not described	not described	roots ; leaves	not described	not described	not described	not described	not described	drought stress	water not available for 24h	not described	not described	soil mixture	collected at dark phase	RNA	total RNA	genomic DNA	not described	not described	promoter analysis ; qRT-PCR	ABI 7500	fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	2	untreated control	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels	not applicable	p < 0.05	not described	t-test	No	Under drought, plants accumulate the signaling hormone abscisic acid (ABA), which induces the rapid closure of stomatal pores to prevent water loss. This event is trigged by a series of signals produc...
23656895	PMC3668038	CYCLIN H;1 regulates drought stress responses and blue light-induced stomatal opening by inhibiting reactive oxygen species accumulation in Arabidopsis.	2013	Plant physiology	10.1104/pp.113.215798	7	Yes	The paper investigates CYCLIN H;1 (CYCH;1) in Arabidopsis thaliana, showing that it positively regulates blue light-induced stomatal opening and drought tolerance. CYCH;1 down-regulation affects reactive oxygen species homeostasis but does not influence guard cell development or abscisic acid-mediated responses.	The paper is relevant as it discusses Arabidopsis thaliana and mentions MYB60 tangentially in the context of blue light-induced stomatal opening signaling determinants, even though it's not a primary focus.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; cych;1 RNA interference (cych;1 RNAi)	guard cells ; leaf	not described	not described	not described	not described	not described	drought stress ; blue light exposure	dehydration; drought stress	not described	16h light/8h dark, not specified intensity	not described	collected in light and darkness conditions	RNA ; Protein	total RNA; mRNA	not described	not described	not described	Microarray ; microarray ; qRT-PCR	not specified	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	not described	not described	not described	not described	2 (wild-type and cych;1 RNAi)	wild-type control	not described	not described	not mentioned	stress response; stomatal opening regulation	gene expression levels; reactive oxygen species production	not applicable	not specified	not mentioned	not described	not mentioned	Arabidopsis (Arabidopsis thaliana) CYCLIN-DEPENDENT KINASE Ds (CDKDs) phosphorylate the C-terminal domain of the largest subunit of RNA polymerase II. Arabidopsis CYCLIN H;1 (CYCH;1) interacts with an...
